shortme	for2591_id	species	sex	strain	animal_id	treatment	subproject	groups	mod	repeats	bwc	rgs	tint_mouse	nesting_rat	burrowing_rat	openfield_rat	cort_plasma	cort_fec	cort_fur_hair	food	social_interaction	Sacc_pref	OF_rearing_frequency	Of_immobile_duration	OF_center_time	BWB_WB	BWB_entries_in_BB	BWB_streching	BWB_LT	EPM_stretching	EPM_head_dip	EPM_closed_arms_duration	EPM_open_arms_duration	EPM_open1_3	Adrel_glands	Creatincise	Oxytocin	BDNF	Irwin	Seizures_n	Seizures_duration	Act_d	Act_n	HR_d	HR_n	NN.I_d	NN.I_n	NNx_d	NNx_n	pNNx_d	pNNx_n	RMSSD_d	RMSSD_n	SDNN_d	SDNN_n	MPPF_hippocampus_L	MPPF_hippocampus_R	MPPF_mPFC	MPPF_septum	FDG_mPFC	FDG_septum	FDG_amygdala	FDG_striatum	FDG_hypothalamus	FDG_thalamus	FDG_parietal_cortex	FDG_hippocampus	Init.ADT	Init.SD	total.SD	Mean.SD
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 39	ive	beh	elec_beh_ive	elec	3	9.3	0		2	1238.1	10296.79	27.179	6.783	9.3015	15.8	375	90.21	99	129.48	109.92	86.8	6	9	10.68	2	37	83.92	152.76	65.08	0.05431	1240.7	222.518	755.3561	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 44	ive	beh	elec_beh_ive	elec	3	8.7	0		2	1300.6	6382.801	27.043	8.358	7.614	16.6	529	90.94	57	160.56	102.56	137.16	8	11	7.96	3	31	91	139	71.08	0.06349	249.6	243.201	499.6303	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 03	SE	beh	elec_beh_SE	elec	3	16.1	0		3	44.6	5999.382		9.492	7.749	18.5	142	83.89	42	308.4	21.96	56.92	4	12	10.72	12	12	207.4	43.48	21.44	0.05515	1065	134.266	758.8696	1.25	0	0																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 05	SE	beh	elec_beh_SE	elec	3	11.7	0.125		1	0	7155.88	21.344	13.587	12.8655	20.8	170	73.56	3	261.76	108.12	234.76	2	2	63.16						0.0593	931.8	23.789	478.7362	4	17	1219																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 06	SE	beh	elec_beh_SE	elec	3	9.6	0		3	0	10745.894		5.88	10.179	17.9	245	82.53	54	152.48	42.24	49.72	4	12	4.36	2	16	208.92	54.6	4.96	0.06024	473.1	106.291	859.1331	0.25	0	0																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 10	SE	beh	elec_beh_SE	elec	3	33.4	0		2	0	8674.614	11.09	26.8716	10.692	26	162	57.38	52	156.96	38.52	88.32	8	19	3.96	4	22	127.32	132.12	60.32	0.06103	519.7	5.722	738.3629	0.5	6	308																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 16	SE	beh	elec_beh_SE	elec	3	8.5	0		3	0	12245.465	17.316	9.891	12.0285	18	142	64.67	84	61.64	9.24	100.28	7	11	15.76	1	32	109.56	147.92	67.4	0.06619	495.7	237.28	417.8217	0.5	2	276																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 18	SE	beh	elec_beh_SE	elec	3	9.1	0.125		3	1549	11195.723	13.717	9.345	9.774	19.2	170	28.92	62	60.2	83.16	87.92	8	13	3.88	2	28	83.04	144.76	88.88	0.07214	478.1	65.566	712.2739	0.5	1	95																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 20	SE	beh	elec_beh_SE	elec	3	16.5	0.0625		1	0	7925.509	5.993	7.0644	7.8975	30.2	57	95.3	37	186.08	122.68	128.12	3	5	35	2	31	95.08	173.84	104.4	0.07807	619.4	106.434	430.6169	1.25	61	2314																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 22	SE	beh	elec_beh_SE	elec	3	27	0			0	8256.924	30.833	12.0771	9.0045	0	57		33	176.4	53.04	107.4	6	7	0						0.04871	930.8	110.912	625.1967	1	8	246																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 23	SE	beh	elec_beh_SE	elec	3	33.1	0		3	315.8	9034.471	34.534	6.846	9.9765	21	126	77.38	81	154.64	101.16	86.28	8	15	1.04	0	31	87.68	140.72	51.88	0.06226	394.3	88.259	622.3663	1	3	219																														
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 26	SE	beh	elec_beh_SE	elec	3	23.3	0		3	2079	8952.29	27.239	10.4328	8.964	20.6	230	57.23	68	125.96	52.48	64.84	5	10	15.68	7	15	164.4	57.6	0	0.06206	197	32.304	384.2533	0	6	306																														
